基金代码,基金名称,币种,份额类别,市场标签,交易场所,净值日期,近1年收益率,近3年收益率,近5年收益率,近10年收益率,日累计申购限额,限额来源,申购状态,赎回状态,天天基金申购费,管理费率,托管费率,销售服务费率,申购费率明细,赎回费率明细,定期报告链接
018229,易方达全球优质企业混合(QDII)A(人民币份额),人民币,未标明,全球,场外/联接/LOF,2026-05-25,102.63%,--,--,--,5.00万元,天天基金F10购买信息,限大额,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.50% | 0.15%；大于等于100万元，小于500万元: 1.20% | 0.12%；大于等于500万元: 每笔1000元,小于等于6天: 1.50%；大于等于7天，小于等于29天: 0.75%；大于等于30天，小于等于179天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_018229_3.html
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),美元,未标明,全球,场外/联接/LOF,2026-05-24,112.17%,--,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.50%（每年）,---: 0.00%,小于等于6天: 1.50%；大于等于7天，小于等于29天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_018232_3.html
018230,易方达全球优质企业混合(QDII)C(人民币份额),人民币,未标明,全球,场外/联接/LOF,2026-05-25,101.59%,--,--,--,5.00万元,天天基金F10购买信息,限大额,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.50%（每年）,---: 0.00%,小于等于6天: 1.50%；大于等于7天，小于等于29天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_018230_3.html
016701,银华海外数字经济量化选股混合发起式(QDII)A,人民币,A,全球,场外/联接/LOF,2026-05-22,48.76%,108.27%,--,--,10.00万元,天天基金F10购买信息,限大额,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于1000万元: 1.50% | 0.15%；大于等于1000万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_016701_3.html
016702,银华海外数字经济量化选股混合发起式(QDII)C,人民币,C,全球,场外/联接/LOF,2026-05-22,48.16%,105.43%,--,--,10.00万元,天天基金F10购买信息,限大额,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_016702_3.html
015204,银华全球新能源车量化优选股票(QDII)A,人民币,A,全球,场外/联接/LOF,2026-05-22,26.63%,70.62%,--,--,无限额,天天基金F10购买信息,开放申购,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于1000万元: 1.50% | 0.15%；大于等于1000万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_015204_3.html
015205,银华全球新能源车量化优选股票(QDII)C,人民币,C,全球,场外/联接/LOF,2026-05-22,26.12%,68.32%,--,--,无限额,天天基金F10购买信息,开放申购,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_015205_3.html
501226,长城全球新能源车股票发起式(QDII)A,人民币,A,全球,场外/联接/LOF,2026-05-25,85.24%,163.88%,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.50% | 0.15%；大于等于100万元，小于300万元: 1.00% | 0.10%；大于等于300万元，小于500万元: 0.50% | 0.05%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于184天: 0.50%；大于等于184天，小于365天: 0.25%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_501226_3.html
018036,长城全球新能源车股票发起式(QDII)C,人民币,C,全球,场外/联接/LOF,2026-05-25,83.96%,159.68%,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.60%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_018036_3.html
008183,招商普盛全球配置(QDII-FOF)美元现钞,美元,未标明,全球,场外/联接/LOF,2026-05-24,14.09%,23.74%,8.25%,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 0.15%；大于等于20万美元，小于100万美元: 0.10%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于365天: 0.50%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_008183_3.html
007975,招商普盛全球配置(QDII-FOF)美元现汇,美元,未标明,全球,场外/联接/LOF,2026-05-24,14.09%,23.74%,8.25%,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 0.15%；大于等于20万美元，小于100万美元: 0.10%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于365天: 0.50%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_007975_3.html
007729,招商普盛全球配置(QDII)人民币A,人民币,A,全球,场外/联接/LOF,2026-05-25,7.65%,19.01%,14.26%,--,无限额,天天基金F10购买信息,开放申购,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.50% | 0.15%；大于等于100万元，小于500万元: 1.00% | 0.10%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于365天: 0.50%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_007729_3.html
023559,招商普盛全球配置(QDII)人民币C,人民币,C,全球,场外/联接/LOF,2026-05-25,6.91%,--,--,--,无限额,天天基金F10购买信息,开放申购,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.50%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_023559_3.html
025339,招商普盛全球配置(QDII)人民币D,人民币,D,全球,场外/联接/LOF,2026-05-21,--,--,--,--,,,开放申购,开放赎回,,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.20%；大于等于100万元，小于500万元: 0.80%；大于等于500万元: 每笔1000元,小于30天: 1.50%；大于等于30天，小于180天: 0.80%；大于等于180天，小于365天: 0.55%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_025339_3.html
163813,中银全球策略(QDII-FOF)A,人民币,A,全球,场外/联接/LOF,2026-05-25,27.96%,74.99%,68.69%,98.14%,500.00万元,天天基金F10购买信息,限大额,开放赎回,0.15%,1.20%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.50% | 0.15%；大于等于100万元，小于200万元: 1.20% | 0.12%；大于等于200万元，小于500万元: 1.00% | 0.10%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于365天: 0.50%；大于等于365天，小于730天: 0.25%；大于等于730天: 0.00%,https://fundf10.eastmoney.com/jjgg_163813_3.html
020957,中银全球策略(QDII-FOF)C,人民币,C,全球,场外/联接/LOF,2026-05-25,27.53%,--,--,--,500.00万元,天天基金F10购买信息,限大额,开放赎回,0.00%,1.20%（每年）,0.20%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_020957_3.html
