基金代码,基金名称,币种,份额类别,市场标签,交易场所,净值日期,近1年收益率,近3年收益率,近5年收益率,近10年收益率,日累计申购限额,限额来源,申购状态,赎回状态,天天基金申购费,管理费率,托管费率,销售服务费率,申购费率明细,赎回费率明细,定期报告链接
015518,华夏纳斯达克100ETF发起式联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-24,39.10%,97.63%,--,--,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 1.20%；大于等于20万美元，小于40万美元: 0.90%；大于等于40万美元，小于100万美元: 0.60%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_015518_3.html
015300,华夏纳斯达克100ETF发起式联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-24,30.94%,88.02%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.60%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_015300_3.html
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.35%,--,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 0.12%；大于等于10万美元，小于20万美元: 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018969_3.html
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.35%,--,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 1.20% | 0.12%；大于等于10万美元，小于20万美元: 0.80% | 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018968_3.html
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.52%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018966_3.html
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.00%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018967_3.html
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,人民币,E,纳指,场外/联接/LOF,2026-05-21,29.38%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.10%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_021773_3.html
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.52%,38.82%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,暂停赎回,,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 0.12%；大于等于10万美元，小于20万美元: 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017952_3.html
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,39.52%,35.99%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于10万美元: 1.20% | 0.12%；大于等于10万美元，小于20万美元: 0.80% | 0.08%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017951_3.html
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,人民币,A,纳指,场外/联接/LOF,2026-05-21,32.58%,31.62%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017894_3.html
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,人民币,C,纳指,场外/联接/LOF,2026-05-21,32.24%,30.72%,--,--,5000元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_017895_3.html
016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.40%,93.04%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.10%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于10万美元: 1.00% | 0.10%；大于等于10万美元，小于20万美元: 0.60% | 0.06%；大于等于20万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_016534_3.html
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.68%,88.13%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.10%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于50万元: 1.00% | 0.10%；大于等于50万元，小于100万元: 0.60% | 0.06%；大于等于100万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_016532_3.html
016535,嘉实纳斯达克100ETF发起联接(QDII)C美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.05%,91.56%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016535_3.html
016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.36%,86.70%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.25%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016533_3.html
021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,人民币,I,纳指,场外/联接/LOF,2026-05-21,29.34%,--,--,--,,,暂停申购,开放赎回,,0.50%（每年）,0.10%（每年）,0.10%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_021838_3.html
012751,建信纳斯达克100指数(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,36.00%,105.26%,--,--,,,限大额,开放赎回,,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 1.20%；大于等于20万美元，小于40万美元: 0.80%；大于等于40万美元，小于100万美元: 0.40%；大于等于100万美元: 每笔150美元,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天，小于90天: 0.30%；大于等于90天: 0.00%,https://fundf10.eastmoney.com/jjgg_012751_3.html
539001,建信纳斯达克100指数(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.31%,100.06%,109.64%,247.30%,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.80% | 0.08%；大于等于200万元，小于500万元: 0.40% | 0.04%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.50%；大于等于30天，小于90天: 0.30%；大于等于90天: 0.00%,https://fundf10.eastmoney.com/jjgg_539001_3.html
012753,建信纳斯达克100指数(QDII)C美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,35.60%,103.39%,--,--,,,限大额,开放赎回,,0.80%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_012753_3.html
012752,建信纳斯达克100指数(QDII)C人民币,人民币,C,纳指,场外/联接/LOF,2026-05-21,28.92%,98.24%,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_012752_3.html
023422,建信纳斯达克100指数(QDII)D人民币,人民币,D,纳指,场外/联接/LOF,2026-05-21,28.92%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 1.00%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_023422_3.html
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,美元,未标明,纳指,场外/联接/LOF,2026-05-21,53.40%,139.93%,--,--,,,暂停申购,开放赎回,,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于20万美元: 1.20%；大于等于20万美元，小于40万美元: 0.80%；大于等于40万美元，小于100万美元: 0.40%；大于等于100万美元: 每笔150美元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_017092_3.html
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,人民币,A,纳指,场外/联接/LOF,2026-05-21,45.67%,132.41%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.80%（每年）,0.20%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.80% | 0.08%；大于等于200万元，小于500万元: 0.40% | 0.04%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_017091_3.html
017093,景顺长城纳斯达克科技ETF联接(QDII)C人民币,人民币,C,纳指,场外/联接/LOF,2026-05-21,45.09%,129.65%,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 0.75%；大于等于30天，小于180天: 0.50%；大于等于180天: 0.00%,https://fundf10.eastmoney.com/jjgg_017093_3.html
019118,景顺长城纳斯达克科技ETF联接(QDII)E人民币,人民币,E,纳指,场外/联接/LOF,2026-05-21,45.38%,--,--,--,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.80%（每年）,0.20%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019118_3.html
019174,摩根纳斯达克100指数(QDII)美元现汇A,美元,A,纳指,场外/联接/LOF,2026-05-21,38.46%,--,--,--,,,限大额,开放赎回,,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于10万美元: 1.20%；大于等于10万美元，小于20万美元: 0.80%；大于等于20万美元，小于100万美元: 0.30%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019174_3.html
019175,摩根纳斯达克100指数(QDII)美元现汇C,美元,C,纳指,场外/联接/LOF,2026-05-21,38.05%,--,--,--,,,限大额,开放赎回,,0.50%（每年）,0.10%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019175_3.html
019172,摩根纳斯达克100指数(QDII)人民币A,人民币,A,纳指,场外/联接/LOF,2026-05-21,31.53%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元，小于500万元: 0.30% | 0.03%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019172_3.html
019173,摩根纳斯达克100指数(QDII)人民币C,人民币,C,纳指,场外/联接/LOF,2026-05-21,31.14%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.30%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019173_3.html
159513,纳斯达克100ETF大成,人民币,未标明,纳指,场内ETF,2026-05-21,32.84%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.80%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159513_3.html
159659,纳斯达克100ETF招商,人民币,未标明,纳指,场内ETF,2026-05-21,33.53%,98.29%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159659_3.html
159632,纳斯达克ETF华安,人民币,未标明,纳指,场内ETF,2026-05-21,33.41%,100.62%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.60%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159632_3.html
513300,纳斯达克ETF华夏,人民币,未标明,纳指,场内ETF,2026-05-21,32.62%,101.05%,124.40%,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.60%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513300_3.html
513390,纳指100ETF博时,人民币,未标明,纳指,场内ETF,2026-05-21,33.54%,104.75%,--,--,场内交易,天天基金F10购买信息,暂停申购,场内交易,,0.50%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513390_3.html
159509,纳指科技ETF景顺,人民币,未标明,纳指,场内ETF,2026-05-21,52.65%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.80%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159509_3.html
513290,纳指生物科技ETF汇添富,人民币,未标明,纳指,场内ETF,2026-05-21,35.82%,38.54%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513290_3.html
513870,纳指ETF富国,人民币,未标明,纳指,场内ETF,2026-05-21,33.78%,--,--,--,场内交易,天天基金F10购买信息,暂停申购,场内交易,,0.50%（每年）,0.10%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513870_3.html
159941,纳指ETF广发,人民币,未标明,纳指,场内ETF,2026-05-21,32.97%,100.57%,121.85%,531.61%,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.80%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159941_3.html
513100,纳指ETF国泰,人民币,未标明,纳指,场内ETF,2026-05-21,32.32%,104.12%,127.26%,562.91%,场内交易,天天基金F10购买信息,暂停申购,场内交易,,0.60%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513100_3.html
513110,纳指ETF华泰柏瑞,人民币,未标明,纳指,场内ETF,2026-05-21,32.90%,101.62%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.80%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513110_3.html
159660,纳指ETF汇添富,人民币,未标明,纳指,场内ETF,2026-05-21,33.60%,101.14%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159660_3.html
159501,纳指ETF嘉实,人民币,未标明,纳指,场内ETF,2026-05-21,32.52%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.10%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159501_3.html
159696,纳指ETF易方达,人民币,未标明,纳指,场内ETF,2026-05-24,33.88%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.10%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159696_3.html
016452,南方纳斯达克100指数发起(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,31.08%,87.90%,--,--,200元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.80% | 0.08%；大于等于200万元，小于500万元: 0.40% | 0.04%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016452_3.html
016453,南方纳斯达克100指数发起(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,30.95%,86.94%,--,--,200元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.10%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_016453_3.html
021000,南方纳斯达克100指数发起(QDII)I,人民币,I,纳指,场外/联接/LOF,2026-05-21,31.02%,--,--,--,,,限大额,开放赎回,,0.50%（每年）,0.15%（每年）,0.01%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_021000_3.html
018043,天弘纳斯达克100指数发起(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,31.45%,86.53%,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.10%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于500万元: 1.00% | 0.10%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于180天: 0.50%；大于等于180天，小于365天: 0.25%；大于等于365天: 0.00%,https://fundf10.eastmoney.com/jjgg_018043_3.html
018044,天弘纳斯达克100指数发起(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,31.20%,85.04%,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_018044_3.html
022525,天弘纳斯达克100指数发起(QDII)D,人民币,D,纳指,场外/联接/LOF,2026-05-21,31.20%,--,--,--,,,限大额,开放赎回,,0.50%（每年）,0.10%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天，小于30天: 1.00%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_022525_3.html
019441,万家纳斯达克100指数发起式(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,29.34%,--,--,--,50元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.10%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.00% | 0.10%；大于等于100万元，小于300万元: 0.60% | 0.06%；大于等于300万元，小于500万元: 0.40% | 0.04%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于30天: 0.10%；大于等于30天: 0.00%,https://fundf10.eastmoney.com/jjgg_019441_3.html
019442,万家纳斯达克100指数发起式(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,29.08%,--,--,--,50元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.20%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019442_3.html
003722,易方达纳斯达克100ETF联接(QDII-LOF)A(美元现汇),美元,未标明,纳指,场外/联接/LOF,2026-05-24,37.76%,101.42%,103.49%,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于20万美元: 1.20% | 0.12%；大于等于20万美元，小于100万美元: 0.80% | 0.08%；大于等于100万美元，小于200万美元: 0.50% | 0.05%；大于等于200万美元: 每笔200美元,小于等于6天: 1.50%；大于等于7天，小于等于364天: 0.50%；大于等于365天，小于等于729天: 0.25%；大于等于730天: 0.00%,https://fundf10.eastmoney.com/jjgg_003722_3.html
161130,易方达纳斯达克100ETF联接(QDII-LOF)A(人民币),人民币,未标明,纳指,场外/联接/LOF,2026-05-24,30.84%,95.07%,116.23%,--,10元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.50%（每年）,0.10%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于200万元: 0.80% | 0.08%；大于等于200万元，小于500万元: 0.50% | 0.05%；大于等于500万元: 每笔1000元,小于等于6天: 1.50%；大于等于7天，小于等于364天: 0.50%；大于等于365天，小于等于729天: 0.25%；大于等于730天: 0.00%,https://fundf10.eastmoney.com/jjgg_161130_3.html
012871,易方达纳斯达克100ETF联接(QDII-LOF)C(美元现汇),美元,未标明,纳指,场外/联接/LOF,2026-05-24,37.32%,99.50%,--,--,0美元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.30%（每年）,---: 0.00%,小于等于6天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_012871_3.html
012870,易方达纳斯达克100ETF联接(QDII-LOF)C(人民币),人民币,未标明,纳指,场外/联接/LOF,2026-05-24,30.44%,93.26%,--,--,10元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.00%,0.50%（每年）,0.10%（每年）,0.30%（每年）,---: 0.00%,小于等于6天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_012870_3.html
019547,招商纳斯达克100ETF发起式联接(QDII)A,人民币,A,纳指,场外/联接/LOF,2026-05-21,30.83%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.12%,0.50%（每年）,0.15%（每年）,0.00%（每年）,小于100万元: 1.20% | 0.12%；大于等于100万元，小于300万元: 1.00% | 0.10%；大于等于300万元，小于500万元: 0.50% | 0.05%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019547_3.html
019548,招商纳斯达克100ETF发起式联接(QDII)C,人民币,C,纳指,场外/联接/LOF,2026-05-21,30.31%,--,--,--,100元,天天基金F10基本概况实时交易状态,限大额,开放赎回,0.00%,0.50%（每年）,0.15%（每年）,0.40%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_019548_3.html
513500,标普500ETF博时,人民币,未标明,标普,场内ETF,2026-05-21,22.51%,75.10%,90.09%,290.05%,场内交易,天天基金F10购买信息,暂停申购,场内交易,,0.60%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513500_3.html
159612,标普500ETF国泰,人民币,未标明,标普,场内ETF,2026-05-21,21.76%,72.25%,--,--,场内交易,天天基金F10购买信息,暂停申购,场内交易,,0.60%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159612_3.html
159655,标普500ETF华夏,人民币,未标明,标普,场内ETF,2026-05-21,21.92%,73.68%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.60%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159655_3.html
513650,标普500ETF南方,人民币,未标明,标普,场内ETF,2026-05-21,22.51%,73.57%,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.60%（每年）,0.15%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_513650_3.html
159502,标普生物科技ETF嘉实,人民币,未标明,标普,场内ETF,2026-05-21,56.95%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.10%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159502_3.html
159529,标普消费ETF景顺,人民币,未标明,标普,场内ETF,2026-05-21,5.90%,--,--,--,场内交易,天天基金F10购买信息,场内交易,场内交易,,0.50%（每年）,0.20%（每年）,未披露/不适用,场内交易: 按券商交易佣金,场内交易: 按券商交易佣金,https://fundf10.eastmoney.com/jjgg_159529_3.html
013425,博时标普500ETF联接美元汇(QDII)A,美元,A,标普,场外/联接/LOF,2026-05-24,28.05%,73.87%,--,--,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于10万美元: 1.20%；大于等于10万美元，小于20万美元: 0.80%；大于等于20万美元，小于100万美元: 0.30%；大于等于100万美元: 每笔200美元,小于7天: 1.50%；大于等于7天，小于730天: 0.50%；大于等于730天，小于1095天: 0.25%；大于等于1095天: 0.00%,https://fundf10.eastmoney.com/jjgg_013425_3.html
013499,博时标普500ETF联接美元汇(QDII)C,美元,C,标普,场外/联接/LOF,2026-05-24,27.60%,72.04%,--,--,,,暂停申购,开放赎回,,0.60%（每年）,0.20%（每年）,0.35%（每年）,---: 0.00%,小于7天: 1.50%；大于等于7天: 0.00%,https://fundf10.eastmoney.com/jjgg_013499_3.html
050025,博时标普500ETF联接A,人民币,A,标普,场外/联接/LOF,2026-05-21,21.65%,68.42%,80.96%,247.83%,100元,天天基金F10基本概况实时交易状态,暂停申购,开放赎回,0.12%,0.60%（每年）,0.20%（每年）,0.00%（每年）,小于50万元: 1.20% | 0.12%；大于等于50万元，小于100万元: 0.80% | 0.08%；大于等于100万元，小于500万元: 0.30% | 0.03%；大于等于500万元: 每笔1000元,小于7天: 1.50%；大于等于7天，小于730天: 0.50%；大于等于730天，小于1095天: 0.25%；大于等于1095天: 0.00%,https://fundf10.eastmoney.com/jjgg_050025_3.html
