代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
011422,广发全球科技三个月定开混合(QDII)人民币C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
000370,广发全球医疗保健美元现汇(QDII)A,全球,美元,200美元,广发基金官网直销限额接口,,,一致/单源
016281,广发全球医疗保健美元现汇(QDII)C,全球,美元,200美元,广发基金官网直销限额接口,,,一致/单源
000369,广发全球医疗保健指数人民币(QDII)A,全球,人民币,100元,广发基金官网直销限额接口,100.00元,100元,一致/单源
016280,广发全球医疗保健指数人民币(QDII)C,全球,人民币,100元,广发基金官网直销限额接口,100.00元,100元,一致/单源
006374,国富全球科技互联混合(QDII)美元现汇A,全球,美元,,,,,未抓到公开限额
021843,国富全球科技互联混合(QDII)美元现汇C,全球,美元,,,,,未抓到公开限额
006373,国富全球科技互联混合(QDII)人民币A,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
021842,国富全球科技互联混合(QDII)人民币C,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
501312,华宝海外科技股票(QDII-LOF)A,全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017204,华宝海外科技股票(QDII-LOF)C,全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017144,华宝海外新能源汽车股票发起式(QDII)A,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
017145,华宝海外新能源汽车股票发起式(QDII)C,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
008253,华宝致远混合(QDII)A,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
008254,华宝致远混合(QDII)C,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
006447,华夏海外聚享混合发起式(QDII-FOF)A美元现钞,全球,美元,,,,,未抓到公开限额
006446,华夏海外聚享混合发起式(QDII-FOF)A美元现汇,全球,美元,,,,,未抓到公开限额
006445,华夏海外聚享混合发起式(QDII-FOF)A人民币,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
006448,华夏海外聚享混合发起式(QDII-FOF)C人民币,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
000041,华夏全球股票(QDII)(人民币),全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
019550,华夏全球股票美元现钞(QDII),全球,美元,,,,,未抓到公开限额
019549,华夏全球股票美元现汇(QDII),全球,美元,,,,,未抓到公开限额
019448,华夏全球科技先锋混合(QDII)A(美元现钞),全球,美元,,,,,未抓到公开限额
019447,华夏全球科技先锋混合(QDII)A(美元现汇),全球,美元,,,,,未抓到公开限额
005698,华夏全球科技先锋混合(QDII)A(人民币),全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
024239,华夏全球科技先锋混合(QDII)C,全球,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
